TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,MODE,TP_RELEASED,ALTITUDE,TEMP,VOLTAGE,GPS_TIME,GPS_LATITUDE,GPS_LONGITUDE,GPS_ALTITUDE,GPS_STATS,SOFTWARE_STATE,CMD_ECHO
1235,13:05:21,0,C,F,N,20,26.01,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:09:43,1,C,F,N,20,26.62,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:23:21,2,C,F,N,20,27.00,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:35:12,3,C,F,N,20,27.3,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:39:21,0,C,F,N,20,27.7,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:42:43,1,C,F,N,20,27.9,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:45:21,2,C,F,N,20,28.1,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:48:12,3,C,F,N,20,28.2,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:50:21,0,C,F,N,20,28.39,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:55:43,1,C,F,N,20,28.45,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,13:59:21,2,C,F,N,20,28.54,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
1235,14:01:12,3,C,F,N,20,28.60,8.1,13:05:43,1234,3214,987654,0,TPDEPLOY,CXON
